,question,answer
133,"How do I check if my GREAT SupremeHealth is an Integrated Shield Plan?
",
134,"What is Deductible and Co-insurance?
",
135,"Which benefits are NOT subjected to the Deductible under GREAT SupremeHealth?
",
136,"What is Short-Stay Ward?
",
137,"
",
138,"What is Day Surgery?
",
139,"What is Room & Board?
",
140,"What is Final Expenses Benefit?
",
141,"How to submit claim under GREAT SupremeHealth?
",
142,"Does Short Stay Ward require to be E-filed for claim under GREAT SupremeHealth?
",
143,"If I did not E-file my claim under GREAT SupremeHealth upon discharge, what should I do?
",
144,"I would like to claim from my employee benefits (Group Hospital & Surgical) or other insurer first for my upcoming hospitalisation treatment.  Only if my employee benefits cannot claim in full, I will then claim the balance amount from my GREAT SupremeHealth. How should I inform the hospital?  
",
145,"If I had claimed my inpatient hospitalisation/ day surgery bill against my employee benefits (Group Hospital & Surgical) first but the bill was not reimbursed in full. Can i still submit the claim under my GREAT SupremeHealth?      
",
146,"What claims are to be manually submitted to Great Eastern?
",
147, ,
148,"If I had claimed my Pre/Post-Hospitalisation bills against my employee benefits (Group Hospital & Surgical, Outpatient) first but the pre/ post bills were not reimbursed in full. Can i still submit the balance amount to claim under GREAT SupremeHealth?
  ",
149,"How approved claims are reimbursed to me?
",
150,"If I have consulted the A&E Department of a Hospital due to an illness (acute or otherwise), will the claim be payable? 
",
151,"If I have been treated at A&E Department of a Hospital due to an accidental injuries, will the claim be payable?
",
152,"Can I claim under my GREAT SupremeHealth if I am hospitalised overseas?
",
153,"If I have a GREAT TotalCare Plus coverage attached to my GREAT TotalCare, when do the Reasonable and Customary Charges come in for expenses incurred outside of Singapore?
",
154,"If the insured person underwent day surgery, can he/she claim under Hospital & Surgical Protector (HSP)/Premier Health Plan (PHP)/GREAT SupremeHealth/Maxhealth?
",
155,"My surgery or treatment has been rescheduled because of the Covid-19 situation. As such, my pre and post hospitalisation visits have also been affected. Can I still submit bills to make claims?
",
156,"Dear Customer,",
157,receive up to $200* worth of shopping vouchers ,
158,"Why should I do this? 
",
159,"How do I claim from my employer's group insurance to reimburse to my GREAT SupremeHealth?
",
160,Integrated Shield Claims Recovery Authorisation Form ,
161,MedicalClaims-SG@greateasternlife.com,
162,"When will I receive my token of appreciation?
",
163,"What is a Letter of Guarantee (LOG)?
",
164,"How does the LOG work?
",
165,"Who is eligible for a LOG?
",
166,"How can I request for a LOG?
",
167,"Should I request for a LOG from Great Eastern prior to a scheduled admission?
",
168,"How much pre-admission deposit is the LOG able to waive?
",
169,Can I appeal for a higher LOG amount?,
170,"Is the issuance of LOG guaranteed?
",
171,Would I still need to settle the pre-admission deposit or hospitalisation bill upon presenting the LOG?,
172,Does the issuance of a LOG suggest a full admittance of my claim?,
173,Are there any other documents that I need to submit together with the LOG?,
174,"If I have a LOG from my employer or other insurer, can I request for a LOG from Great Eastern?",
175,"If I do not have a GREAT SupremeHealth policy but am insured under Premier Health Plan/Hospital & Surgical Protector, am I eligible for LOG?",
176,"Which are the participating hospitals in Singapore?
",List of Participating Private Hospitals
177,"Can I request for a LOG for all hospital treatments?
",
178,"Can I request for a LOG for medical treatments, emergency or non-emergency, when overseas?",
179,What is the definition of disability?,
180,What are the ADL?,
181,Does ElderShield give worldwide coverage?,
182,Can I claim after I reach 65 years of age (Regular Premium Plan) since I will no longer be paying premiums?,
183,"Should I recover from my disability after a period of time, will I have to continue paying the premiums?",
184,"Will there be any claim payable upon death?
",
185,How much is the monthly benefit?,
186,For how long will I receive the monthly benefit?,
187,How will the monthly payments be made to me?,
188,Can payments be made to my caregiver?,
189,I am going overseas for my treatment. Can you send the monthly benefit to my overseas address?,
190,"With the treatment received, I can now perform the ADLs, which I was unable to do so previously. Must I inform your company?",
191,Can I stop my premium payment once I file for a claim?,
192,I am disabled but I do not stay in Singapore and am unable to go back. How should I file my claim?,
193,"Can I see my own doctor or therapist to be assessed for ElderShield eligibility?
",
194,                                                                                                                                                                                                      ,
195,I am a housebound patient and cannot go to your panel assessor for the medical assessment. Can the assessor come to my house or institution?,
196,Which panel assessor is nearest to my house/institution?,
197,"Should I recover from my disability and subsequently become disabled again, would I need to go for another medical assessment?
",
198,                                                                                                                                                         ,
199,Will I get a reimbursement for the assessment fees?,
200,"Will cognitive impairments be better recognised under revised disability assessment framework?
",
201,"If my General Practitioner (GP) / my nursing home has assessed that I am disabled, why do I still need to visit an accredited assessor for assessment?
",
202,Will there be any reviews of my disability?,
203,Will there be any charges for the reviews? Who will bear those charges?,
204,1. What is disability? ,
205,2. What are the 6 Activities of Daily Living (ADLs)?,
206,(a) Washing,
207,(b) Dressing,
208,(c) Feeding,
209,(d) Toileting,
210,(e) Walking,
211,Moving Around,
212,f) Transferring,
213,3. Does GREAT CareShield Advantage / GREAT CareShield Enhanced provide worldwide coverage?,
214,"4. To be insured under GREAT CareShield Advantage / GREAT CareShield Enhanced, I would already have a basic ElderShield or CareShield Life policy. In the event of a Disability, do I need to be assessed twice to make claims for both policies?",
215,5. Can I see my own doctor or specialist to be assessed?,
216,"6. Should I fully recover from my disability, will I have to continue paying the premiums?",
217,1. How much is the monthly payout that I will receive?,
218,2. How long will I receive the monthly payout?,
219,3. How will the payouts be made to me?,
220,4. Can the payouts be made to my caregiver?,
221,1. Can I stop my premium payment once I file for a claim?,
222,2. I am disabled but I do not stay in Singapore and am unable to go back. How should I file my claim?,
223,1. It is not convenient for me to go to any doctor in the panel for my medical assessment. Can the doctor perform the assessment at a location that is convenient for me?,
224,2. Which panel assessor is nearest to my house/institution?,
225,"3. Should I recover from my disability and subsequently become disabled again, would I need to go for another medical assessment?",
226,4. Will I get a reimbursement for the assessment fees?,
227,5. Will cognitive impairments be better recognised under revised disability assessment framework?,
228,"6. If my General Practitioner (GP) / my nursing home has assessed that I am disabled, why do I still need to visit an accredited assessor for assessment?",
229,1. Will there be any reviews of my disability?,
230,"2. If my condition has been assessed to have worsened from the inability to perform 1 ADL to the inability to perform 2 or more ADLs, will I have to undergo another assessment to be eligible for the monthly payouts from my plan?",
231,3. Will I have to pay for these periodic reviews?,
232,"1. Great Eastern COVID-19 Deferment of Premium Payment Programme
",
233,Premium due date / policy renewal date falling within,
234,1st window,
235,2nd window,
236,3rd window (NEW),
237,Application ,
238,"2. How can you apply for the DPP Programme?
",
239,"3. When to Apply?
",
240,4. Eligibility,
241,"5. Are there any terms and conditions I need to agree to in order to apply for the Programme?
",
242,6. What happens at the end of the deferment period?,
243,"7. If I have more than 1 policy with Great Eastern, do I have to submit multiple applications?",
244,8. Who can I contact to find out more about this Programme?,
245,"9. Upon expiry of DPP, my financial position still does not allow me to fulfill the requested payment. Are there other options available? ",
246,10. How can I utilise my insurance policies to meet my short term financial needs?,
0, What is MyShield? ,"  MyShield is a Medisave-approved Integrated Shield Plan (IP) which offers additional benefits on top of what is provided by MediShield Life. It is a non-participating, guaranteed renewable annual premium plan denominated in Singapore dollars. It consists of MyShield Plan 1, Plan 2, Plan 3 and Standard Plan.  "
1, Does MediShield Life duplicate the coverage I have under MyShield and/or MyHealthPlus? ,"  There is no duplicate coverage. MyShield is made up of two parts – a basic MediShield Life portion run by the Central Provident Fund (CPF) Board, and additional coverage provided by Aviva. MyHealthPlus, which you can purchase from Aviva on top of MyShield, covers the co-insurance and/or deductible that you otherwise have to pay. Here are some of the MediShield Life and MyShield benefits at a glance:       Features MediShield Life MyShield     Hospital/ward type Provides cover at private hospitals, restructured hospitals, class B2 or C ward.   The coverage is pegged to class B2 or C ward in public hospitals. The coverage is subject to proration factor depending on the selected plan type.   Pre- & post-hospitalisation treatment No cover • Provides cover for Plan 1, 2 or 3 • No cover for Standard Plan    Coverage Capped at various claim limits • As-charged basis for most benefits for Plan 1, 2 or 3 • Capped at various claim limits for Standard Plan    Option to cover deductible and/or co-insurance No • Yes, with MyHealthPlus attached to MyShield Plan 1, 2 or 3 • Not available for Standard Plan    Allows choice of doctor No Yes      "
2, Will I receive premium subsidies even though I am insured under MyShield? Do I have to downgrade from MyShield plan to MediShield Life to receive the premium subsidies? ,"  You will still be able to receive the applicable MediShield Life subsidies (refer to https://www.moh.gov.sg/medishield-life/medishield-life-premiums-and-subsidies/ for more information on the subsidies) if you meet the eligibility criteria, even if you are insured under MyShield. You do not have to downgrade your MyShield plan to receive the subsidies. Premium subsidies for those who are currently insured under MyShield will be applied only on the MediShield Life component of the premiums. However, please note that anyone who pays for, or is insured under Aviva’s MyShield/MyHealthPlus is not eligible for Additional Premium Support (APS) from the Government*. If you are currently receiving APS to pay for your MediShield Life and/or CareShield Life premiums, and you choose to be insured under Aviva’s MyShield / MyHealthPlus, you will stop receiving APS. This applies even if you are not the person paying for Aviva’s MyShield / MyHealthPlus. In addition, if you choose to be insured under Aviva’s MyShield / MyHealthPlus, the person paying for Aviva’s MyShield / MyHealthPlus will stop receiving APS, if he or she is currently receiving APS. * APS is for families who need assistance with MediShield Life and/or CareShield Life premiums, even after receiving premium subsidies and making use of MediSave to pay for these premiums.    "
3, Can I add in riders to cover deductible and co-insurance? ,"  Yes, you can choose to complement MyShield by getting MyHealthPlus Option A-II or Option C-II (from 1 January 2019).  "
4, Can I add in riders to cover deductible and co-insurance for MyShield Standard Plan? ,  No. We do not have any riders for MyShield Standard Plan.  
5, Am I eligible to buy MyShield? ,"  For MyShield Plan 1, 2 and 3 Any Singapore citizen or PR may apply as proposer (payer)/assured provided the proposer (payer)/assured is a Singapore citizen or PR and has a Medisave account. For dependant(s), they need not be a Singapore citizen or PR but must be residing in Singapore to enjoy this coverage. Dependants are defined to be the proposer (payer)’s legal spouse, parent(s), sibling(s) or grandparent(s) and/or biological or legally adopted child(ren). Note: For Plan 3, only Singapore citizens or PRs may apply.         Minimum Entry Age (ANB) Maximum Entry Age (ANB) Expiry Age     Proposer (Payer)/Assured 17 N.A.1 N.A.   Dependant/Life Assured 15 days old or the date of discharge from hospital after birth, whichever is later 75 N.A. as the product offers lifetime cover       1If the proposer (payer)/assured is also the life assured, the maximum entry age of 75 (ANB) will apply.   For MyShield Standard Plan Any Singapore citizen or PR may apply as proposer (payer)/assured provided the proposer (payer)/assured is a Singapore citizen or PR and has a Medisave account but the life assured must be a Singapore citizen or PR. For dependant(s), they must be a Singapore citizen or PR to be eligible for coverage.         Minimum Entry Age (ANB) Maximum Entry Age (ANB) Expiry Age     Proposer (Payer)/Assured 17 N.A. N.A.   Dependant/Life Assured 15 days old or the date of discharge from hospital after birth, whichever is later N.A. N.A., as the product offers lifetime cover      "
6, What happens to my IP from another private insurer if I sign up for MyShield? ,"  Your existing IP will be automatically cancelled upon commencement of MyShield. The pro-rated premiums (if any) for the terminated plan will be refunded to your Medisave account. In order to commence MyShield, the premium has to be successfully deducted from the Medisave account. In the event, the annual premium exceeds the Additional Withdrawal Limits (“AWLs”) for Singapore citizens and PRs or Medisave Withdrawal Limits for foreigners, for a Medisave approved IP, or the balance in the Medisave Account is insufficient to pay the full annual premium, you can pay the balance of the annual premium via cash/cheque/GIRO.  "
7, What is MyHealthPlus? ,  MyHealthPlus provides complementary protection to MyShield by providing coverage for the deductibles and/or co-insurance so that you can pay less or lower expenses for your medical bills. Only policyholders who have MyShield coverage are eligible to purchase MyHealthPlus.  
8, What are the differences between Option A-II and Option C-II? ,      Benefit Parameters Option A-II Option C-II     Ward Downgrade Benefit Yes No   Deductible Benefit No Yes*    Free Cover for Child(ren) Yes No    Preferred Rate for Child(ren) No No        *MyHealthPlus annual deductible applies.  
9, Am I eligible to buy MyHealthPlus? ,"  To be eligible for coverage, the life assured must be the life assured of a MyShield policy and meet the following criteria.         Minimum Entry Age (ANB) Maximum Entry Age (ANB)  Expiary Age     Assured/Proposer (Payer) 17 N.A.^ N.A.   Life assured/Dependant* 15 days old or the date of discharge from hospital after birth, whichever is later  75  N.A.#       ^ If the proposer (payer)/ assured is also the life assured, the maximum entry age of 75 (ANB) will apply. *Dependants are defined to be the proposer (payer)’s legal spouse, parent(s), grandparent(s), sibling(s) and/or biological or legally adopted child(ren). # To be eligible for the Critical Illness Benefit under this policy, the life assured must be aged between 1 year old and 65 years old at age next birthday.  "
10, Protection ,
11," Car, travel and home ",
12, Savings and retirement ,
13, Group schemes ,
14, Investment ,
15,Get support,
16, Promotions ,
17, Customer rewards ,
18, Disability Support Programme ,
19, Receive S$10 e-voucher of your choice ,
20, Customer log in ,
21, Group customer log in ,
22, Financial Advisers log in ,
23, Help ,
24, Need to see a specialist? ,
25, Individual claims ,
26, Employee insurance claims ,
27, Group scheme claims ,
28, More info ,
29, We paid out one claim every 28 seconds ,
30, Money Banter ,
31, Health is Wealth (of Information) ,
0, Am I eligible to take up MyCare? ,"  To be eligible, you must first be an ElderShield policyholder before adding an ElderShield supplement. Your initial ElderShield plan can be with any insurer.    "
1, Why should I join now? ,"  As with your regular ElderShield coverage, premiums are determined at the age of entry. Since these premiums do not increase with age, you can enjoy higher MyCare benefits at a lower premium.   "
2, What are the benefits covered under MyCare? ,"  MyCare provides a monthly severe disability payout. Other benefits include:  Lump sum benefit  It is payable when the Life Assured is certified as severely disabled and unable to perform at least 3 of the 6 Activities of Daily Living and after 90-day deferment period is completed. This additional benefit is equal to 3 times the first monthly payout amount and is paid only once in the policy lifetime with the regular benefit payout.   Rehabilitation benefit  It is payable when the Life Assured recovers from a severe disability but is still unable to perform 3 of the 6 Activities of Daily Living. This benefit is 50% of the last paid monthly Severe Disability Benefit.   Dependant care benefit  It is payable when the Life Assured is receiving a severe disability or rehabilitation benefit and has a child under the age of 21. Upon completing the 90-day deferment period, this additional benefit of $200 per month payable for up to 36 months begins.   Death benefit  It is payable in the event of the death of the Life Assured when the Life Assured is still receiving a severe disability or rehabilitation benefit. This benefit amount to 3 times the last paid monthly severe disability or rehabilitation benefit. All benefits are payable in cash and is tax-free. This is applicable to both limited premium payment term and lifetime premium term policies.   "
3, How can I pay the premiums for MyCare? ,"  You can use your CPF Medisave to pay for the premiums of MyCare, with a yearly (calendar year) limit of $600 per insured person. You can also use a CPF Medisave account belonging to your spouse, parents, children, or grandchildren to pay for the premiums of MyCare. Alternatively, you can make the premium payments for MyCare via cheque, GIRO or Credit Card. Please note that any premiums in excess of $600 yearly limit for Medisave must be paid by cheque, GIRO or Credit Card.   "
4, How long do I have to pay the premiums for MyCare? ,"  You can determine the length of your premium payment term to be either: up to age 66 next birthday, (or for 20 years from entry age, whichever is later) or lifetime premium payment.   "
5, How do I make a claim under MyCare? ,"  To make a claim, complete the Claim Form and have your condition assessed by an Appointed Assessor. They will complete the Assessor's Statement and return it (along with your Claim Form) to your basic ElderShield insurer for processing. If Aviva is not your basic ElderShield insurer, your basic policy insurer will provide us the Claim Form, Assessor's Statement, and any other documents that are relevant to your claim. Alternatively, you can also inform Aviva regarding your claim, and we will assist you with processing the necessary. You may receive your insurance payout either by cheque or direct credit into your bank account 90 days after the claim date and having been certified by an Appointed Assessor as severely disabled. You only need to complete the Claim Form once, since the form and panel of Appointed Assessors are identical for both your basic ElderShield and MyCare Supplement.   "
6, What is MyCare? ,"  MyCare is an Eldershield Supplements providing additional coverage and benefits in the event of a severe disability. With an additional premium, you can customize the policy to meet your own personal needs. MyCare lets you choose your:  Monthly Payout Benefit - choose your preferred monthly payout benefit (inclusive of ElderShield benefit) from a minimum of S$600 to a maximum of S$5000 (in increments of S$100).   Monthly Payout Duration - choose between a fixed 12-year (144 months) duration or unlimited lifetime payout.   Payment Term - choose between paying until age 66 next birthday, (or for 20 years from entry age, whichever is later) or Lifetime premium payment.   With the rising costs of care and the longer life spans of Singaporeans, this makes MyCare the smart choice as an additional coverage on the specific needs during unexpected situation. The monthly benefit is payable when the Life Assured is certified as severely disabled and unable to perform at least 3 of the 6 Activities of Daily Living. Once the 90-days deferment period is complete, the benefit payout begins.   "
7, If I am still in the old ElderShield benefit plan (with the benefit of $300 months for up to 60 months) do I need to upgrade to buy the Supplementary Plan? ,"  No. As long as you have an in-force ElderShield policy, you can purchase MyCare.   "
8, What will happen to my MyCare policy if I terminate my basic ElderShield policy? ,"  If your basic ElderShield policy is terminated, your MyCare coverage will be terminated as well. In the event that the premiums have been collected for MyCare, MyCare will be terminated at the next premium due date.   "
9, What will happen to my MyCare policy if my basic ElderShield benefits have been fully paid? ,"  Your MyCare policy will continue to provide severe disability benefits for life (or up to 144 months of benefit payout duration), even if your basic ElderShield benefits have been fully paid.   "
10, When is the Severe Disability Benefit payable? ,"  The monthly benefit is payable when the Life Assured is certified as severely disabled and unable to perform at least three of the 6 Activities of Daily Living. Once the 90-day deferment period is complete, benefit payout begins.   "
11, How long is the Severe Disability Benefit payable for? ,"  You can set the length of your severe disability benefit payout term to be either:   Lifetime or Up to 12 years (144 months)   The benefit continues to be payable as long as your disability lasts, up to the chosen benefit payout duration.   "
12, Do I have to continue paying MyCare premiums if I become severely disabled? ,"   If you become severely disabled, your MyCare policy payouts begin after the deferment period and your subsequent premiums will be waived. If you recover from your severe disability, severe disability benefit payouts will stop and premium payments will resume if you have not fulfilled your minimum premium payment term. If you have finished paying all required premiums under the limited premium payment term option, no additional premium payment is necessary. You will still continue to enjoy lifetime coverage.   "
13, What happens if I do not pay premiums? ,"  To prevent your policy from lapsing due to non-payment of premiums, you may convert your policy into a paid-up policy with a reduced monthly benefit after a certain minimum number of years, provided that you have sufficient value accumulated under your MyCare policy. The monthly benefit amount is dependent on your age and how long your policy has been in force. In the event there are insufficient value accumulated, the policy will lapse and the cover will cease. This is applicable to both limited premium payment term and lifetime premium term policies.   "
14," To be insured under MyCare, I would already have a basic ElderShield policy. In the event of severe disability, do I need to be assessed twice to make claims for both policies? ","  No, you only need to complete a single claim form and assessment. As long as you meet all the claim eligibility requirements and policy contract terms, benefit payments will be made under both policies.   "
15, How do I make a claim if both my basic ElderShield and Supplement (MyCare) policies are with Aviva? ,"  The assessor will complete the Assessor's Statement and return it along with the Claim Form to Aviva for processing. You should indicate, at the top of the Claim Form, that both policies are from Aviva. Documents such as medical records or a discharge summary only need to be submitted once, and the claims on both your policies will be processed together. A current copy of the Claim Form and a list of Appointed Assessors are available from our website.   "
16, How do I make a claim if my basic ElderShield and Supplement policies are with different insurers? ,"  The assessor will complete the Assessor's Statement and return it along with the Claim form to your basic ElderShield insurer for processing. You should indicate, at the top of the Claim Form, that both policies are from different insurers. Documents such as medical records or a discharge summary only need to be submitted once. Your basic ElderShield insurer will work with your Supplement insurer to process the claims. If you have a MyCare policy but your basic ElderShield is not insured by Aviva, you can facilitate the claim process by informing us in writing of your claim at:  Shenton Way SGX Centre 2 #01-01  Singapore 068807   "
17," Why do I need to wait 90 days after lodgement of my claim, before I could get my payouts if I become severely disabled? ","  MyCare payouts commence once the certification is complete and the 90 day 'deferment period' has ended. The deferment period ensures that MyCare policy payouts are used to cover long term nursing and care costs resulting from disabling illness or injury. Without this period, ElderShield Supplement Insurers would have to cover costs for temporary or non-severe disabilities, driving up premium prices for all policy holders.   "
18, Do I have to bear the cost of assessment? ,"  If your claim for severe disability insurance is successful, Aviva will reimburse the full cost of your assessment. If your claim is denied, you will be responsible for the cost of the assessment. Appointed Assessors charge $100* per assessment at their premises. If you require an in-home visit from an assessor, the fee will be $250* instead. *The revised assessment fees are effective from 31 January 2020.  "
19, Can I see my own doctor or specialist to be assessed? ,  You can only use your own doctor if they are already on Aviva's Panel of Appointed Assessors. The purpose of having the panel of Appointed Assessors to conduct the assessments is to minimize inappropriate claims and ensure consistency in the claims assessment. You are always encouraged to bring any relevant medical records to your disability assessment.   
20, What can I do if I disagree with the claims assessment of the insurer? ,"  If you disagree with your assessment results, you can request to be assessed again by a specialist. As with the first assessment, Aviva will only reimburse assessment fees if your claim of disability is successful. These assessments cost $100* when conducted at the specialist's office or $250* if performed at your home. If the specialist assesses you and determines you are still ineligible for disability coverage, you can submit an Appeal to the Ministry of Health's ElderShield Arbitration Panel. The panel may appoint a geriatrician or other qualified practitioner to conduct a reassessment. The decision of the Arbitration Panel shall be final and binding on both you and Aviva. As with the other assessments, Aviva will only reimburse assessment fees if your claim of disability is successful. This is published for general information only and does not have regard to the specific investment objectives, financial situation and the particular needs of any specific person. You may wish to seek advice from a financial adviser before making a commitment to purchase the product. In the event that you choose not to seek advice from a financial adviser, you should consider whether the product in question is suitable for you. Buying a life insurance policy is a long-term commitment and an early termination of the policy usually involves high costs. This is not a contract of insurance. Full details of the standard terms and conditions of this plan can be found in the relevant policy contract. Information is correct at the time of publishing. *The revised assessment fees are effective from 31 January 2020.  "
21,Products,"   Protection     Life insurance     Health insurance     Critical illness insurance     Disability insurance     Personal accident insurance       Car, travel and home     Travel insurance     Car insurance     Home insurance       Savings and retirement     Saving for retirement     Saving for child education     General savings plans       Group schemes     MINDEF Group insurance     MHA Group insurance     Public Officers Group Insurance Scheme (POGIS)       Investment     dollarDEX     Navigator       Get support    Make a claim     Contact us     FAQ     "
22,Promotions,   Promotions    Enjoy these special savings when you purchase our plans.    Cashback promos     Life & Health insurance promos     Travel insurance promos     Car insurance promos     Home insurance promos       Customer rewards    Perks specially curated for Aviva customers.    View customer rewards       Disability Support Programme    Free programme that provides interim financial assistance for disability    Disability Support Programme     Learn more about how you can plan for long-term care         Receive S$10 e-voucher of your choice  Eligible members of MINDEF and MHA can now purchase our Group Insurance Bundle^ without the need for underwriting and be rewarded with S$10 e-voucher of your choice.     Find out more        Get support    Make a claim     Contact us     FAQ     
23,Help and service,"   Customer log in    View and manage your policy under one roof.    MyAviva     MINDEF     MHA     POGIS       Group customer log in    Log in to manage your Aviva group plan.    ClaimConnect     EBConnect     Letter of Guarantee       Financial Advisers log in     Aviva Online     Pocket SQS       Help     Aviva COVID-19 Premium Deferment Programme     Form library     FAQ     How to make your payment     Fund information     Investment-linked plan funds reports         Need to see a specialist?  Only for MyShield/MyHealthPlus customers, secure an appointment within three working days.     Find out more        Get support    Make a claim     Contact us     FAQ     "
24,Make a claim,"   Individual claims     Death claim     Health, critical illness or accident claim     ElderShield or MyCare/MyCarePlus claim     Car claim     Home claim     Personal Accident claim     Travel claim       Employee insurance claims     Corporate plan claim     EBConnect     ClaimConnect       Group scheme claims     MINDEF & MHA insurance claim     Public Officers Group Insurance Scheme (POGIS) claim       More info     Letter of Guarantee         We paid out one claim every 28 seconds  Read more about our claims report and what we are doing to make it easier to claim.     Find out more        Get support    Make a claim     Contact us     FAQ     "
25,Blog,"   Money Banter    Useful articles, tips and guides on insurance.    All articles     Recent articles     Protection and health insurance articles     Retirement planning articles     Savings and investments articles     Travel insurance articles     Car insurance articles     Subscribe to blog         Health is Wealth (of Information)  See what Singaporeans say about healthcare experiences and the need for more information to make healthcare decisions.      Find out more      "
26,Help,
27,Useful links,
28,About Aviva,
29,Go to,
30,Social,
0, What are the Direct Purchase Insurance (DPI) plans offered by Aviva? ,"  There are two life insurance plans which you can purchase directly from us. They are: DIRECT - Aviva Term Life  A Term Life plan that provides up to S$400,0001 coverage for Death, Terminal Illness, or Total and Permanent Disability. Available cover term options are – 5 years, 20 years, or up to 65 Age Next Birthday. Premiums are level and do not increase with age. Premium payment period is the same as the policy coverage period.  DIRECT - Aviva Whole Life  A participating Whole Life plan that provides a lump-sum payout up to $200,0001 and non-guaranteed bonuses (if any) when Death, Terminal Illness, or Total and Permanent Disability happens. Potential to accumulate bonuses annually. Premiums are level and do not increase with age. Choice of premium payment period - i) Pay till 70 Age Next Birthday or ii) Pay till 85 Age Next Birthday.  1Aviva Direct Purchase Insurance coverage limit per person: Maximum sum assured of S$400,000 for DIRECT- Aviva Term Life, inclusive of maximum S$200,000 for DIRECT- Aviva Whole Life is allowed. Please refer to the illustrations below:  Illustration 1: f you have purchased a DIRECT- Aviva Term Life with sum assured of S$300,000, you may purchase an additional DIRECT- Aviva Term Life or DIRECT- Aviva Whole Life with sum assured of S$100,000. Illustration 2: If you have purchased a DIRECT- Aviva Whole Life with sum assured of S$100,000, you may buy another DIRECT- Aviva Whole Life not exceeding sum assured of S$100,000 or DIRECT- Aviva Term Life not exceeding sum assured of S$300,000.  In addition, both plans give you an option to add a DIRECT- Aviva Critical Illness Cover II, so that you can be protected if you are diagnosed with any of the 30 critical illnesses stated in the Product Summary. These 30 critical illnesses are standard across all insurance companies offering the DPI plans.  Please refer to the DPI brochure and Product Summaries for more details. They can be found at DIRECT-Aviva Term Life and DIRECT-Aviva Whole Life.   "
1, Who is eligible to apply for the DPI plans? ,"  You may apply for these plans as long as:   You are a resident in Singapore (including foreigners who are holding a valid Employment Pass, Work Pass, Dependant Pass or Student Pass), and    You are between 19 and 65 Age Next Birthday (both ages inclusive).   "
2, Do I need to submit any medical reports or undergo any medical check-ups? ,  Yes. The DPI plans will go through a similar approval process as non-DPI life insurance plans. You are advised to submit your medical report and you may also be required to go for a medical check-up.  
3, How do I know if my application has been successfully completed? ,"  For application that does not require further underwriting, a confirmation email accompanied with the policy number will be sent to you. The policy document will be sent to you via post.  "
4, How can I make a claim? ,"  You can obtain a claim form through the following ways:  Download the claims form from our corporate site Call our customer service hotline at 6827 9933 (8.45am to 5.30pm, Mondays to Fridays, excluding public holidays) to request for one Email us at cs_life@aviva-asia.com to request for one Visit our Customer Service Hall to obtain a printed form  Instructions on how to file a claim is found on page 1 of the individual claim form.  "
5, How can I apply for DPI? ,"  Please refer to the steps found here: https://www.aviva.com.sg/en/insurance/life-and-health/direct-purchase-insurance-application-process/. As DPI plans are sold directly from insurance companies without financial advice, you will need to read the required documents carefully before buying any DPI plan. If you’re still unsure what type of DPI to buy and how much coverage is needed for you, you are encouraged to seek advice from a financial adviser representative to advise you on a suitable product.   "
6, How will I know if the DPI is suitable for me? ,"  These DPI plans are designed to be sold without advice. To help you make an informed decision, you can refer to these useful resources and tools:  1)      MoneySense article on buying DPI: https://www.moneysense.gov.sg/articles/2018/10/buying-direct-purchase-insurance 2)      Web Aggregator (for life insurance products): http://www.comparefirst.sg 3)      MoneySense Budget Calculator: https://www.moneysense.gov.sg/financial-tools/budget-calculator 4)      CPF Board Insurance Estimator: https://www.cpf.gov.sg/eSvc/Web/Schemes/InsuranceEstimator/InsuranceEstimator You may also approach our Customer Service staff to obtain information about the plans, as well as the guides provided by Life Insurance Association (LIA).  "
7, What do I need to disclose in my DPI application? ,"  You should disclose all information requested in the application form (including any pre-existing medical conditions) fully and truthfully. If material information is not disclosed or fully disclosed, you or your dependants may not be able to claim the benefits under DPI. If you are unsure whether the information is material, you are advised to disclose it.  "
8, Can I purchase DPI for my family members? ,"  No, the applicant and the life assured must be the same person.  "
9, What are the payment options available? ,"   For your initial premium payment, we accept cash, cheque and credit card. For your subsequent premium payment, we accept cash, cheque, Interbank GIRO and AXS.   "
10,Products,"   Protection     Life insurance     Health insurance     Critical illness insurance     Disability insurance     Personal accident insurance       Car, travel and home     Travel insurance     Car insurance     Home insurance       Savings and retirement     Saving for retirement     Saving for child education     General savings plans       Group schemes     MINDEF Group insurance     MHA Group insurance     Public Officers Group Insurance Scheme (POGIS)       Investment     dollarDEX     Navigator       Get support    Make a claim     Contact us     FAQ     "
11,Promotions,   Promotions    Enjoy these special savings when you purchase our plans.    Cashback promos     Life & Health insurance promos     Travel insurance promos     Car insurance promos     Home insurance promos       Customer rewards    Perks specially curated for Aviva customers.    View customer rewards       Disability Support Programme    Free programme that provides interim financial assistance for disability    Disability Support Programme     Learn more about how you can plan for long-term care         Receive S$10 e-voucher of your choice  Eligible members of MINDEF and MHA can now purchase our Group Insurance Bundle^ without the need for underwriting and be rewarded with S$10 e-voucher of your choice.     Find out more        Get support    Make a claim     Contact us     FAQ     
